Term,Category
racis*,DSD
sociolog*,DSD
actor network theory*,DSD
agrarian studies*,DSD
decoloniality*,DSD
decolonization*,DSD
discourse analysis*,DSD
discourse*,DSD
embeddedness*,DSD
ethnograph*,DSD
epistemolog*,DSD
ethnic studies*,DSD
feminis*,DSD
foucaul*,DSD
gramsci*,DSD
grounded theory*,DSD
hegemon*,DSD
human rights*,DSD
imperialism*,DSD
indigeneity*,DSD
international studies*,DSD
intersectional*,DSD
justice*,DSD
latour*,DSD
marx*,DSD
oppression*,DSD
peasant studies*,DSD
polanyi*,DSD
political ecolog*,DSD
political econom*,DSD
political science*,DSD
political-ecolog*,DSD
political-econom*,DSD
positionality*,DSD
queer*,DSD
science and technology studies*,DSD
science studies*,DSD
social movement*,DSD
social science*,DSD
sovereign*,DSD
caste*,DSD
dalit*,DSD
adivasi*,DSD
scheduled caste*,DSD
scheduled tribe*,DSD
backward class*,DSD
other backward class*,DSD
OBC,DSD
untouchab*,DSD
varna*,DSD
jati*,DSD
land reform*,DSD
land redistrib*,DSD
food sovereign*,DSD
social stratif*,DSD
social hierarch*,DSD
social exclusion*,DSD
social inclusion*,DSD
patriarch*,DSD
gendered*,DSD
gender norm*,DSD
gender relation*,DSD
gender gap*,DSD
intra-household*,DSD
intrahousehold*,DSD
social sustainab*,DSD
social assessment*,DSD
social indicator*,DSD
social criteria*,DSD
right to food*,DSD
food justice*,DSD
environmental justice*,DSD
distributional*,DSD
biocultural*,DSD
neoliberal*,DSD
reflexiv*,DSD
social development*,DSD
gender equit*,DSD
gender equalit*,DSD
anti-caste*,DSD
Brahmanical*,DSD
endogam*,DSD
purity and pollution*,DSD
caste-gender*,DSD
sub-caste*,DSD
Backward Class*,DSD
forward caste*,DSD
suicidal ideation*,DSD
triple burden*,DSD
Poorest of the Poor*,DSD
-econo*,LSD
agraria,LSD
alternative food network*,LSD
anthropolog*,LSD
attitude,LSD
autonomy*,LSD
capitalis,LSD
collaborat*,LSD
commodity chain*,LSD
commodity-chain*,LSD
cooperat*,LSD
cost-benefit*,LSD
critical consciousness*,LSD
design process*,LSD
direct market*,LSD
disciplinary,LSD
document analysis*,LSD
education,LSD
empower*,LSD
ethno*,LSD
experiential*,LSD
focus group*,LSD
gender*,LSD
institution,LSD
interview,LSD
labour*,LSD
learn*,LSD
marginalization*,LSD
marketing*,LSD
ontolog*,LSD
participa,LSD
peasant*,LSD
pedagog*,LSD
polic,LSD
politic,LSD
reform*,LSD
ricardian*,LSD
ricardo*,LSD
school*,LSD
settlement*,LSD
social,LSD
socio,LSD
socioeconomic*,LSD
solidarity*,LSD
supply chain*,LSD
supply-chain*,LSD
theoretic*,LSD
tradition,LSD
value chain*,LSD
value-chain*,LSD
panchayat*,LSD
self-help group*,LSD
SHG,LSD
farmer producer organi*,LSD
FPO,LSD
mandi*,LSD
middlem*,LSD
tenant*,LSD
sharecrop*,LSD
landless*,LSD
bonded labo*,LSD
minimum support price*,LSD
MSP,LSD
public distribution system*,LSD
PDS,LSD
tribal*,LSD
dowry*,LSD
patrilineal*,LSD
matrilineal*,LSD
decision-making*,LSD
decision making*,LSD
bargaining power*,LSD
time burden*,LSD
time poverty*,LSD
care work*,LSD
unpaid*,LSD
domestic violence*,LSD
gender-based violence*,LSD
reproductive*,LSD
social capital*,LSD
social network*,LSD
social protection*,LSD
safety net*,LSD
dispossess*,LSD
displace*,LSD
inequit*,LSD
inequalit*,LSD
labor condition*,LSD
labour condition*,LSD
working condition*,LSD
farmworker*,LSD
farm worker*,LSD
occupational health*,LSD
occupational safety*,LSD
fair trade*,LSD
fairtrade*,LSD
externalit*,LSD
external cost*,LSD
land tenure*,LSD
social welfare*,LSD
social-ecological*,LSD
socioecological*,LSD
food regime*,LSD
multistakeholder*,LSD
multi-stakeholder*,LSD
dignit*,LSD
immigrant*,LSD
democratic*,LSD
livelihood*,LSD
poverty*,LSD
farmer suicide*,LSD
agrarian crisis*,LSD
agrarian distress*,LSD
food insecur*,LSD
malnutrition*,LSD
undernutrition*,LSD
widow*,LSD
female-headed*,LSD
woman-headed*,LSD
women-headed*,LSD
resource access*,LSD
land title*,LSD
land right*,LSD
property right*,LSD
wage gap*,LSD
drudgery*,LSD
workload*,LSD
intergenerational*,LSD
child labor*,LSD
child labour*,LSD
pesticide exposure*,LSD
pesticide poison*,LSD
occupational hazard*,LSD
accountab*,LSD
transparen*,LSD
state intervention*,LSD
indigenous knowledge*,LSD
traditional knowledge*,LSD
livelihood diversif*,LSD
moneylend*,LSD
farmer distress*,LSD
ex-gratia*,LSD
widow pension*,LSD
gold loan*,LSD
input subsid*,LSD
labor intensi*,LSD
family labor*,LSD
wage labor*,LSD
daily labor*,LSD
water access*,LSD
education cost*,LSD
school fee*,LSD
exit from farm*,LSD
girl child*,LSD
cultural loss*,LSD
cultural erosion*,LSD
MGNREGA,LSD
DWCRA,LSD
below poverty line*,LSD
cow ownership*,LSD
Green Revolution*,LSD
illustrate,MSD
knowledge,MSD
labor,MSD
adopting*,MSD
adoption*,MSD
communal*,MSD
decision*,MSD
dialogue*,MSD
discussion*,MSD
embedded*,MSD
family,MSD
farmer,MSD
garden*,MSD
governmental*,MSD
implemented*,MSD
implementing,MSD
initiative*,MSD
language*,MSD
law*,MSD
legal*,MSD
modern,MSD
moderniz*,MSD
people*,MSD
perceive*,MSD
perception*,MSD
practitioner*,MSD
researcher*,MSD
security,MSD
societ*,MSD
stakeholder*,MSD
strateg*,MSD
sufficiency*,MSD
sustainab,MSD
systema*,MSD
think*,MSD
tourism*,MSD
tradeoff*,MSD
urbaniz*,MSD
village*,MSD
remittance*,MSD
seasonal*,MSD
elderly*,MSD
young farmer*,MSD
literate*,MSD
wage*,MSD
transport*,MSD
commut*,MSD
sacred*,MSD
ritual*,MSD
married*,MSD
unmarried*,MSD
generational*,MSD
livestock*,MSD
cattle*,MSD
dairy*,MSD
argue*,PSD
engage*,PSD
engaged*,PSD
implement,PSD
afn*,PSD
corporat*,PSD
