Rank,Corpus ID,Authors,Year,Title,DOI,DSD_variety,DSD_frequency,LSD_variety,LSD_frequency,PSD_variety,PSD_frequency,MSD_variety,MSD_frequency,Score,Matched_Terms
1,796,"Galt R.E., Pinzón N., Robinson N.I., Baukloh Coronil M.B.",2024,Agroecology and the social sciences: A half-century systematic review,10.1016/j.agsy.2024.103881,8,22,7,22,7,17,2,3,184.55,DSD: sociolog*(1); feminis*(1); justice*(2); political ecolog*(1); social science*(14); sovereign*(1); food sovereign*(1); food justice*(1) | LSD: anthropolog*(1); education(1); ontolog*(1); peasant*(1); social(15); socio(2); inequalit*(1) | PSD: engage*(8); engaged*(4); power(1); food security*(1); food system*(1); household(1); movement*(1) | MSD: security(1); systema*(2)
2,193,Chiengkul P.,2017,"The political economy of the agri-food system in Thailand hegemony, counter-hegemony, and co- optation of oppositions",10.4324/9781315267920,7,19,3,4,4,10,0,0,128.5,DSD: sociolog*(1); gramsci*(1); hegemon*(10); marx*(1); political econom*(3); social movement*(2); land reform*(1) | LSD: collaborat*(1); reform*(1); social(2) | PSD: argue*(2); food system*(3); governance*(1); movement*(4)
3,539,"Meek D., Khadse A.",2022,Food sovereignty and farmer suicides: bridging political ecologies of health and education,10.1080/03066150.2020.1760248,4,13,7,13,6,9,3,5,118.25,DSD: political ecolog*(3); social movement*(3); sovereign*(4); food sovereign*(3) | LSD: attitude(1); autonomy*(1); education(2); reform*(1); social(3); livelihood*(2); farmer suicide*(3) | PSD: argue*(1); financ*(1); intervention(1); movement*(3); wellbeing*(1); grassroots*(2) | MSD: knowledge(1); farmer(3); societ*(1)
4,547,"Kerr R.B., Liebert J., Kansanga M., Kpienbaareh D.",2022,Human and social values in agroecology: A review,10.1525/elementa.2021.00090,5,6,6,24,10,14,5,6,117.6,DSD: discourse*(1); justice*(2); social science*(1); gendered*(1); gender equit*(1) | LSD: autonomy*(2); gender*(4); social(11); care work*(1); inequit*(3); livelihood*(3) | PSD: case stud*(1); commons*(1); financ*(1); food security*(2); food system*(2); income*(1); innovation*(1); credit*(1); well-being*(3); wellbeing*(1) | MSD: labor(1); embedded*(1); initiative*(1); people*(1); security(2)
5,276,Mann A.,2019,Voice and participation in global food politics,10.4324/9781351068888,6,7,7,12,9,14,1,1,116.1,DSD: justice*(2); political econom*(1); sovereign*(1); food sovereign*(1); food justice*(1); gender equit*(1) | LSD: gender*(1); learn*(3); pedagog*(1); social(4); food regime*(1); democratic*(1); indigenous knowledge*(1) | PSD: argue*(1); corporat*(2); power(1); commod*(1); communicat*(2); food system*(2); movement*(1); rural*(2); urban(2) | MSD: knowledge(1)
6,355,Dunlap A.,2020,The direction of ecological insurrections: political ecology comes to daggers with Fukuoka,10.2458/V27I1.23751,5,18,3,3,2,2,1,1,107.1,DSD: decolonization*(2); hegemon*(1); justice*(3); political ecolog*(9); environmental justice*(3) | LSD: school*(1); socio(1); theoretic*(1) | PSD: argue*(1); power(1) | MSD: discussion*(1)
7,605,Kerr R.,2022,Unsettling the Hegemony of ‘Western’ Thinking: Critical Reflection on My Journey to Understanding Campesino-a-Campesino Pedagogy,10.3390/soc12030076,5,10,6,12,2,3,2,4,105.15,DSD: racis*(3); decolonization*(1); ethnograph*(2); hegemon*(1); reflexiv*(3) | LSD: education(3); ethno*(2); learn*(1); pedagog*(4); tribal*(1); livelihood*(1) | PSD: race*(2); histor*(1) | MSD: researcher*(1); think*(3)
8,773,McMichael P.,2023,Updating Karl Polanyi’s ‘double movement’ for critical agrarian studies,10.1080/03066150.2023.2219978,6,9,5,6,5,14,2,3,104.8,DSD: agrarian studies*(1); hegemon*(1); polanyi*(3); social movement*(1); sovereign*(2); neoliberal*(1) | LSD: marketing*(1); social(2); theoretic*(1); social protection*(1); farmworker*(1) | PSD: commod*(3); market(3); movement*(5); rural*(1); territorial*(2) | MSD: labor(1); people*(2)
9,396,"Gunaratne M.S., Radin Firdaus R.B., Rathnasooriya S.I.",2021,Climate change and food security in Sri Lanka: towards food sovereignty,10.1057/s41599-021-00917-4,3,17,4,6,5,10,3,8,103.8,DSD: discourse*(1); sovereign*(8); food sovereign*(8) | LSD: learn*(1); reform*(2); poverty*(2); malnutrition*(1) | PSD: argue*(1); food security*(6); food system*(1); governance*(1); narrative*(1) | MSD: dialogue*(1); security(6); societ*(1)
10,160,"Münster D., Poerting J.",2016,"Land as resource, soil and landscape: Materiality, relationality and new agrarian questions in political ecology [Land als Ressource, Boden und Landschaft: Materialität, Relationalität und neue Agrarfragen in der Politischen ökologie]",10.5194/gh-71-245-2016,5,10,4,7,5,8,0,0,95.0,DSD: ethnograph*(1); feminis*(1); political ecolog*(5); political econom*(2); science studies*(1) | LSD: anthropolog*(2); ethno*(1); ontolog*(2); theoretic*(2) | PSD: engage*(3); histor*(1); movement*(1); perspective(1); question(2)
