Corpus ID,Authors,Year,Title,Abstract,Keywords,Source,DOI,Document Type,Database
796,"Galt R.E., Pinzón N., Robinson N.I., Baukloh Coronil M.B.",2024,Agroecology and the social sciences: A half-century systematic review,[No abstract available],Agroecology engaged with social science (AESS); Agroecology not engaged with social science (ANESS); Bibliometrics; Interdisciplinary research; Systematic literature review; Transdisciplinarity; agroecology; interdisciplinary approach; literature review; publishing; research work,Agricultural Systems,10.1016/j.agsy.2024.103881,Review,Scopus
193,Chiengkul P.,2017,"The political economy of the agri-food system in Thailand hegemony, counter-hegemony, and co- optation of oppositions",[No abstract available],,"The Political Economy of the Agri-Food System in Thailand: Hegemony, Counter-Hegemony, and Co-Optation of Oppositions",10.4324/9781315267920,Book,Scopus
539,"Meek D., Khadse A.",2022,Food sovereignty and farmer suicides: bridging political ecologies of health and education,[No abstract available],agroecology; food sovereignty; India; Political ecology; social movement; agrarian reform; agroecology; educational attainment; educational development; farmers attitude; farmers knowledge; food supply; grassroots level; health status; livelihood; mental health; occupational exposure; social movement; sovereignty; suicide; India,Journal of Peasant Studies,10.1080/03066150.2020.1760248,Article,Scopus
547,"Kerr R.B., Liebert J., Kansanga M., Kpienbaareh D.",2022,Human and social values in agroecology: A review,[No abstract available],Agroecology; Gender equity; Labor; Livelihoods; Well-being; agroecology; equity; food security; gender; social justice,Elementa,10.1525/elementa.2021.00090,Review,Scopus
276,Mann A.,2019,Voice and participation in global food politics,[No abstract available],,Voice and Participation in Global Food Politics,10.4324/9781351068888,Book,Scopus
355,Dunlap A.,2020,The direction of ecological insurrections: political ecology comes to daggers with Fukuoka,[No abstract available],decolonization; degrowth; environmental justice; insurrectionary ecology; insurrectionary political ecology; post-development; Resistance; catastrophe theory; conceptual framework; decolonization; environmental justice; environmental policy; political relations; political system; university sector; Fukuoka [Kyushu]; Japan; Kyushu,Journal of Political Ecology,10.2458/V27I1.23751,Article,Scopus
605,Kerr R.,2022,Unsettling the Hegemony of ‘Western’ Thinking: Critical Reflection on My Journey to Understanding Campesino-a-Campesino Pedagogy,[No abstract available],anti-racist; critical ethnography; decolonizing research; development; pedagogy; reflexivity; sustainability,Societies,10.3390/soc12030076,Article,Scopus
773,McMichael P.,2023,Updating Karl Polanyi’s ‘double movement’ for critical agrarian studies,[No abstract available],Commodification; countermovements; ecology; enclosure; hegemony; protection; sovereignty; territorialism; agrarian change; capitalism; commodity market; conceptual framework; indigenous population; land management; market conditions; marketing; neoliberalism; nineteenth century; rural economy; social movement; sovereignty; territoriality; theoretical study; twentieth century,Journal of Peasant Studies,10.1080/03066150.2023.2219978,Article,Scopus
396,"Gunaratne M.S., Radin Firdaus R.B., Rathnasooriya S.I.",2021,Climate change and food security in Sri Lanka: towards food sovereignty,[No abstract available],,Humanities and Social Sciences Communications,10.1057/s41599-021-00917-4,Article,Scopus
160,"Münster D., Poerting J.",2016,"Land as resource, soil and landscape: Materiality, relationality and new agrarian questions in political ecology [Land als Ressource, Boden und Landschaft: Materialität, Relationalität und neue Agrarfragen in der Politischen ökologie]",[No abstract available],agrarian change; agroecology; Anthropocene; biophysics; ecological theory; geographical research; landscape structure; political economy; science and technology; India; Pakistan,Geographica Helvetica,10.5194/gh-71-245-2016,Article,Scopus
223,"Flachs A., Richards P.",2018,Playing development roles: The political ecology of performance in agricultural development,[No abstract available],Agrarian studies; Agricultura; Agriculture; Agriculture; Estudios agrarios; Improvisación; Improvisation; Improvisation; Performance; Performance; Performance; Planeación; Planification; Planning; études agraires,Journal of Political Ecology,10.2458/v25i1.23089,Article,Scopus
430,Gallar‐hernández D.,2021,Forging political cadres for re‐peasantization: Escuela de acción campesina (spain),[No abstract available],Agroecological peasantry; Food sovereignty; Peasant pedagogies; Political subjects; agrarian change; ethnography; ideology; political system; sovereignty; Spain,Sustainability (Switzerland),10.3390/su13074061,Article,Scopus
1502,Akkuş A.,2026,Rethinking Food Ethics: A Normative Analysis of an Ecosocialist Framework and Case Studies of La Via Campesina and Güneşköy,[No abstract available],Ecosocialist ethics; Environmental ethics; Food ethics; Güneşköy; La Via Campesina; biodiversity; ethics; food market; food security; food supply; social justice; sovereignty; Turkey,Journal of Agricultural and Environmental Ethics,10.1007/s10806-025-09971-3,Article,Scopus
1466,Ravipati A.,2025,Women's empowerment in APCNF: A critical examination of feminist goals in agroecology,[No abstract available],Agroecology; Climate change; Climate justice; Corporate food regime; Industrial agriculture; Peasant economy; Sustainable development; Economic and social effects; Agro ecologies; Anthropocene; Climate justices; Corporate food regime; Corporates; Critical issues; Global threats; Industrial agriculture; Peasant economy; Women empowerment; Sustainable agriculture,Handbook of Social Justice in the Global South,10.4337/9781803921150.00025,Book Chapter,Scopus
1142,Hearn A.H.,2025,Cuba's food sovereignty intermediaries [Les intermédiaires dans la souveraineté alimentaire de Cuba],[No abstract available],,Journal of the Royal Anthropological Institute,10.1111/1467-9655.70009,Article,Scopus
159,MacRae G.,2016,"Himalayan Agricultures, Ecologies and Local Food Sovereignties",[No abstract available],Food; India; policy; security; sovereignty,Anthropological Forum,10.1080/00664677.2016.1192989,Article,Scopus
726,Das S.,2023,Politically Branding India’s “First Fully Organic State”: Re-Signification of Traditional Practices and Markets in Organic Agriculture,[No abstract available],Agricultural policy; Farmer discontent; Neoliberal markets; Organic branding; State legitimacy; Traditional agrarian practices; agricultural policy; crop yield; cultural relations; ethnography; hegemony; neoliberalism; organic farming; policy implementation; India; Sikkim,Journal of Agricultural and Environmental Ethics,10.1007/s10806-023-09915-9,Article,Scopus
739,"Gordon E., Davila F., Riedy C.",2023,Regenerative agriculture: a potentially transformative storyline shared by nine discourses,[No abstract available],Discourse; Discourse coalitions; Regenerative agriculture; Regenerative storylines; Transformations,Sustainability Science,10.1007/s11625-022-01281-1,Article,Scopus
111,"Martínez-Torres M.E., Rosset P.M.",2014,Diálogo de saberes in La Vía Campesina: food sovereignty and agroecology,[No abstract available],agroecology; diálogo de saberes; epistemology; food sovereignty; La Vía Campesina; rural social movements,Journal of Peasant Studies,10.1080/03066150.2013.872632,Article,Scopus
601,"Guzmán Luna A., Bacon C.M., Méndez V.E., Flores Gómez M.E., Anderzén J., Mier y Terán Giménez Cacho M., Hernández Jonapá R., Rivas M., Duarte Canales H.A., Benavides González Á.N.",2022,Toward Food Sovereignty: Transformative Agroecology and Participatory Action Research With Coffee Smallholder Cooperatives in Mexico and Nicaragua,[No abstract available],agroecological diversification; farmer-to-farmer; land access; livelihoods; seed sovereignty; traditional diets,Frontiers in Sustainable Food Systems,10.3389/fsufs.2022.810840,Article,Scopus
6927,"Malaiappan, Sudharsan; Krishnan, S.; Gadewar, P.; Sharma, H.; Priyadarshini, P.; Thakur, A.; Ganvir, S.; Acharya, P.; Kumar, Gopal; Shijagurumayum, M. S.; Singh, Sonali; Samaddar, A.; Alvi, Muzna; Borah, Gulshan; Sikka, Alok",2024,"Agroecological insights for Mandla, Madhya Pradesh, India: a contextual analysis for sustainable transformation",[No abstract available],,International Livestock Research Institute - Kenya,,,AGRIS
517,"Di Muzio T., Dow M.",2022,COVID-19 AND THE GLOBAL POLITICAL ECONOMY: Crises in the 21st Century,[No abstract available],,COVID-19 and the Global Political Economy: Crises in the 21st Century,10.4324/9781003250432,Book,Scopus
357,"Schreer V., Padmanabhan M.",2020,The many meanings of organic farming: framing food security and food sovereignty in Indonesia,[No abstract available],Food policy; Food security; Food self-sufficiency; Food sovereignty; Governance; Indonesia; Movement; Organic movement; Social movement; State,Organic Agriculture,10.1007/s13165-019-00277-z,Article,Scopus
250,"Anderson C.R., Bruil J., Chappell M.J., Kiss C., Pimbert M.P.",2019,From transition to domains of transformation: Getting to sustainable and just food systems through agroecology,[No abstract available],Agroecology; Food security; Food sovereignty; Governance; Participation; Power social transformation; Sustainability transitions; agroecology; climate change; food security; governance approach; social justice; sustainability; sustainable development,Sustainability (Switzerland),10.3390/su11195272,Article,Scopus
1087,"Amalan A.A., Aram I.A.",2025,Artificial Intelligence Adoption in Non-Chemical Agriculture: An Integrated Mechanism for Sustainable Practices,[No abstract available],agricultural extension; Artificial Intelligence (AI); climate-smart agriculture; digital inclusion; Fuzzy-Set Qualitative Comparative Analysis (fsQCA); justice-centred approaches; non-chemical agriculture methods (NCAM); sustainability; Sustainable Development Goals (SDGs); Technology Acceptance Model (TAM); adoption behavior; appropriate technology; artificial intelligence; chemical analysis; comparative study; conceptual framework; exploration; numerical model; qualitative analysis; sustainability; Sustainable Development Goal; India; Tamil Nadu,Sustainability (Switzerland),10.3390/su17198865,Article,Scopus
174,Pimbert M.P.,2017,"Democratizing knowledge and ways of knowing for food sovereignty, agroecology and biocultural diversity",[No abstract available],,"Food Sovereignty, Agroecology and Biocultural Diversity: Constructing and Contesting Knowledge",10.4324/9781315666396,Book Chapter,Scopus
4706,"Moe, A.K.(Kyushu Univ., Fukuoka (Japan)); Yutaka, T.; Fukuda, S.; Kai, S.",2007,Acreage response of pulses to prices under agricultural market reform in Myanmar,[No abstract available],,"Agriculture, Forestry and Fisheries Research Information Technology Center - Japan",,,AGRIS
1137,"Kumar A., Divyanshu, Prasher R.S., Chandel R.S., Dev I., Sharma S., Mehta P., Vashishat R.K.",2025,"Correction: Market performance and supply chain selection dynamics for vegetables grown through sustainable practices in the Northwest Himalayan region (Frontiers in Sustainable Food Systems, (2025), 9, (1558481), 10.3389/fsufs.2025.1558481)",[No abstract available],consumer awareness; market supply chains; marketing challenges; natural farming; vegetable crops,Frontiers in Sustainable Food Systems,10.3389/fsufs.2025.1654484,Erratum,Scopus
740,"Corral-Gonzalez L., Cavazos-Arroyo J., García-Mestanza J.",2023,Regenerative tourism: A bibliometric analysis,[No abstract available],bibliometrics; conscious tourism; regenerative tourism; tourism research,"Journal of Tourism, Heritage and Services Marketing",10.5281/zenodo.10539722,Article,Scopus
3445,"Hirai, Y. (Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Inoue, E.; Fukushima, T.; Ueka, I.; Mori, K.",2003,Analysis of the reaction force of a bunch of rice stalks undergoing forced displacement,[No abstract available],,"Agriculture, Forestry and Fisheries Research Information Technology Center - Japan",,,AGRIS
1705,"Onozuka, D; Hagihara, A",2008,Spatial and Temporal Dynamics of Influenza Outbreaks,[No abstract available],,EPIDEMIOLOGY,10.1097/EDE.0b013e3181880eda,,Web of Science
3622,"Park, K. (Kyushu Univ., Fukuoka (Japan). Faculty of Agriculture); Sokh, H.; Inoue, S.",2003,Local inhabitants' consciousness of using and managing urban forest areas: A case study of Iki-no Matsubara in Fukuoka city [Japan],[No abstract available],,"Agriculture, Forestry and Fisheries Research Information Technology Center - Japan",,,AGRIS
6120,"Erami, K. (Kyushu University, Fukuoka (Japan). Graduate School, Faculty of Agriculture, Department of Bioscience and Biotechnology, Laboratory of Nutrition Chemistry); Tanaka, Y.; Kawamura, S.; Miyago, M.; Sawazaki, A.; Imaizumi, K.; Sato, M.",2016,Dietary egg yolk supplementation improves low-protein-diet-induced fatty liver in rats,[No abstract available],,"Agriculture, Forestry and Fisheries Research Information Technology Center - Japan",,,AGRIS
2409,"Goto, H; Saito, Y; Yaginuma, H; Asada, K; Sato, T; Hashimoto, O; Kitahara, H; Kobayashi, Y",2025,Diagnostic Ability of Risk Models in the Field of Ischemic Stroke for Predicting Atherosclerotic Outcomes in Patients with Acute Myocardial Infarction,[No abstract available],,JOURNAL OF ATHEROSCLEROSIS AND THROMBOSIS,10.5551/jat.65162,,Web of Science
7130,"Robin 	Singh, Dr R.S. Yadav, Rakesh 	Kumar, Robin 	Singh",,Evaluation of nutrient management practices for enhancing productivity of wheat (Triticum aestivum L.).,[No abstract available],,Plant Archives,,,CABI
